id,treatment,attention,age,gender,chatgpt_familiarity,chatgpt_used,chatgpt_frequency,chatgpt_trust,order,task,competent,warm,moral,lazy,trustworthy
19,AI_Full_Deception,TikTok,32,Male,5,Yes,2,5,3,Writing a marriage proposal,3,3,3,4,3
19,AI_Full_Deception,TikTok,32,Male,5,Yes,2,5,4,Writing a short story,3,3,4,4,3
19,AI_Full_Deception,TikTok,32,Male,5,Yes,2,5,5,Creating a daily schedule,3,3,4,4,3
19,AI_Full_Deception,TikTok,32,Male,5,Yes,2,5,6,Planning a surprise birthday party for a friend,3,3,4,4,3
20,AI_Full_Honest,TikTok,55,Male,2,No,1,3,1,Planning a city tour for a friend,3,3,4,6,4
20,AI_Full_Honest,TikTok,55,Male,2,No,1,3,2,Planning a syllabus,3,4,3,6,4
20,AI_Full_Honest,TikTok,55,Male,2,No,1,3,3,Writing a bereavement card to a family member,3,2,3,6,4
20,AI_Full_Honest,TikTok,55,Male,2,No,1,3,4,Writing a love letter,3,2,2,6,2
20,AI_Full_Honest,TikTok,55,Male,2,No,1,3,5,Solving a mathematical equation,4,4,4,4,5
20,AI_Full_Honest,TikTok,55,Male,2,No,1,3,6,Writing a cover letter for a job application,4,3,3,5,4
21,AI_Full_Deception,TikTok,38,Female,2,No,1,1,1,Planning a city tour for a friend,2,2,1,7,1
21,AI_Full_Deception,TikTok,38,Female,2,No,1,1,2,Solving a mathematical equation,2,3,2,6,3
21,AI_Full_Deception,TikTok,38,Female,2,No,1,1,3,Writing an apology letter to a friend,1,1,1,7,1
21,AI_Full_Deception,TikTok,38,Female,2,No,1,1,4,Writing computer code,2,3,2,5,2
21,AI_Full_Deception,TikTok,38,Female,2,No,1,1,5,Planning a surprise birthday party for a friend,3,3,2,5,4
21,AI_Full_Deception,TikTok,38,Female,2,No,1,1,6,Writing a dinner recipe,3,4,4,3,4
22,AI_Tool_Deception,TikTok,52,Male,4,Yes,3,4,1,Writing a marriage proposal,6,4,3,5,3
22,AI_Tool_Deception,TikTok,52,Male,4,Yes,3,4,2,Planning a city tour for a friend,5,5,5,5,5
22,AI_Tool_Deception,TikTok,52,Male,4,Yes,3,4,3,Writing an apology letter to a friend,5,5,5,5,5
22,AI_Tool_Deception,TikTok,52,Male,4,Yes,3,4,4,Writing a dinner recipe,6,6,6,5,5
22,AI_Tool_Deception,TikTok,52,Male,4,Yes,3,4,5,Writing a short story,5,5,5,5,5
22,AI_Tool_Deception,TikTok,52,Male,4,Yes,3,4,6,Writing a cover letter for a job application,5,5,4,5,4
23,AI_Full_Deception,TikTok,54,Female,5,Yes,3,4,1,Writing a cover letter for a job application,3,4,2,5,1
23,AI_Full_Deception,TikTok,54,Female,5,Yes,3,4,2,Planning a syllabus,3,4,3,4,3
23,AI_Full_Deception,TikTok,54,Female,5,Yes,3,4,3,Writing a bereavement card to a family member,3,5,4,4,4
23,AI_Full_Deception,TikTok,54,Female,5,Yes,3,4,4,Writing a poem,4,4,2,4,1
23,AI_Full_Deception,TikTok,54,Female,5,Yes,3,4,5,Planning a surprise birthday party for a friend,4,5,4,4,4
23,AI_Full_Deception,TikTok,54,Female,5,Yes,3,4,6,Writing a marriage proposal,4,3,3,3,3
24,AI_Tool_Honest,TikTok,21,Male,6,Yes,4,5,1,Writing a dinner recipe,3,5,2,6,4
24,AI_Tool_Honest,TikTok,21,Male,6,Yes,4,5,2,Planning a syllabus,4,3,4,3,5
24,AI_Tool_Honest,TikTok,21,Male,6,Yes,4,5,3,Planning a city tour for a friend,1,3,1,7,3
24,AI_Tool_Honest,TikTok,21,Male,6,Yes,4,5,4,Writing an apology letter to a friend,3,3,4,4,3
24,AI_Tool_Honest,TikTok,21,Male,6,Yes,4,5,5,Writing a marriage proposal,5,3,3,4,4
24,AI_Tool_Honest,TikTok,21,Male,6,Yes,4,5,6,Writing a poem,5,3,3,4,4
25,AI_Tool_Deception,TikTok,38,Male,4,Yes,3,4,1,Writing a dinner recipe,2,4,3,7,2
25,AI_Tool_Deception,TikTok,38,Male,4,Yes,3,4,2,Writing wedding vows,3,3,2,7,1
25,AI_Tool_Deception,TikTok,38,Male,4,Yes,3,4,3,Creating a daily schedule,5,4,4,4,4
25,AI_Tool_Deception,TikTok,38,Male,4,Yes,3,4,4,Planning a syllabus,4,4,4,4,4
25,AI_Tool_Deception,TikTok,38,Male,4,Yes,3,4,5,Writing a marriage proposal,4,3,3,5,3
25,AI_Tool_Deception,TikTok,38,Male,4,Yes,3,4,6,Writing an apology letter to a friend,4,4,4,5,3
26,AI_Tool_Deception,TikTok,25,Female,3,Yes,2,4,1,Writing a dinner recipe,5,5,5,2,5
26,AI_Tool_Deception,TikTok,25,Female,3,Yes,2,4,2,Writing a bereavement card to a family member,4,4,4,3,3
26,AI_Tool_Deception,TikTok,25,Female,3,Yes,2,4,3,Generating a shopping list,5,5,4,4,4
26,AI_Tool_Deception,TikTok,25,Female,3,Yes,2,4,4,Writing an apology letter to a friend,4,4,4,3,3
26,AI_Tool_Deception,TikTok,25,Female,3,Yes,2,4,5,Planning a surprise birthday party for a friend,6,6,6,2,6
26,AI_Tool_Deception,TikTok,25,Female,3,Yes,2,4,6,Solving a mathematical equation,4,4,3,4,3
27,AI_Full_Deception,TikTok,41,Male,3,Yes,2,2,1,Generating a shopping list,4,4,3,5,4
27,AI_Full_Deception,TikTok,41,Male,3,Yes,2,2,2,Writing a marriage proposal,4,4,3,5,4
27,AI_Full_Deception,TikTok,41,Male,3,Yes,2,2,3,Writing a cover letter for a job application,4,4,3,5,4
27,AI_Full_Deception,TikTok,41,Male,3,Yes,2,2,4,Writing an apology letter to a friend,4,4,3,5,4
27,AI_Full_Deception,TikTok,41,Male,3,Yes,2,2,5,Planning a city tour for a friend,4,4,3,5,4
27,AI_Full_Deception,TikTok,41,Male,3,Yes,2,2,6,Solving a mathematical equation,4,4,3,5,4
28,AI_Full_Honest,TikTok,37,Male,3,Yes,3,3,1,Writing a dinner recipe,3,4,5,6,4
28,AI_Full_Honest,TikTok,37,Male,3,Yes,3,3,2,Planning a city tour for a friend,3,5,4,3,5
28,AI_Full_Honest,TikTok,37,Male,3,Yes,3,3,3,Writing a short story,4,3,3,5,5
28,AI_Full_Honest,TikTok,37,Male,3,Yes,3,3,4,Creating a daily schedule,5,3,2,3,4
28,AI_Full_Honest,TikTok,37,Male,3,Yes,3,3,5,Writing a bereavement card to a family member,4,5,4,3,4
28,AI_Full_Honest,TikTok,37,Male,3,Yes,3,3,6,Planning a surprise birthday party for a friend,4,3,2,3,4
29,Control,TikTok,30,Male,3,Yes,3,3,1,Creating a daily schedule,6,3,2,5,4
29,Control,TikTok,30,Male,3,Yes,3,3,2,Solving a mathematical equation,6,4,4,2,4
29,Control,TikTok,30,Male,3,Yes,3,3,3,Planning a surprise birthday party for a friend,6,7,6,2,5
29,Control,TikTok,30,Male,3,Yes,3,3,4,Planning a syllabus,7,4,5,3,4
29,Control,TikTok,30,Male,3,Yes,3,3,5,Writing a marriage proposal,6,5,5,2,5
29,Control,TikTok,30,Male,3,Yes,3,3,6,Writing a love letter,5,6,5,3,4
30,AI_Full_Honest,TikTok,25,Female,1,No,1,3,1,Writing wedding vows,1,1,1,7,1
30,AI_Full_Honest,TikTok,25,Female,1,No,1,3,2,Writing an apology letter to a friend,1,1,1,7,1
30,AI_Full_Honest,TikTok,25,Female,1,No,1,3,3,Creating a daily schedule,1,1,5,7,3
30,AI_Full_Honest,TikTok,25,Female,1,No,1,3,4,Writing a cover letter for a job application,1,2,5,6,6
30,AI_Full_Honest,TikTok,25,Female,1,No,1,3,5,Writing a love letter,1,1,1,7,1
30,AI_Full_Honest,TikTok,25,Female,1,No,1,3,6,Writing a dinner recipe,1,4,5,7,5
31,AI_Full_Honest,TikTok,43,Male,5,Yes,3,4,1,Planning a surprise birthday party for a friend,5,4,3,6,3
31,AI_Full_Honest,TikTok,43,Male,5,Yes,3,4,2,Writing wedding vows,6,5,5,3,4
31,AI_Full_Honest,TikTok,43,Male,5,Yes,3,4,3,Writing a dinner recipe,4,4,4,4,4
31,AI_Full_Honest,TikTok,43,Male,5,Yes,3,4,4,Generating a shopping list,5,3,3,4,3
31,AI_Full_Honest,TikTok,43,Male,5,Yes,3,4,5,Writing an apology letter to a friend,4,4,4,3,2
31,AI_Full_Honest,TikTok,43,Male,5,Yes,3,4,6,Writing a short story,4,3,2,2,1
32,Control,TikTok,33,Female,3,No,2,4,1,Writing a cover letter for a job application,4,4,5,2,4
32,Control,TikTok,33,Female,3,No,2,4,2,Writing computer code,7,4,4,1,4
32,Control,TikTok,33,Female,3,No,2,4,3,Writing a poem,5,4,4,2,4
32,Control,TikTok,33,Female,3,No,2,4,4,Writing wedding vows,7,6,6,1,4
32,Control,TikTok,33,Female,3,No,2,4,5,Writing an apology letter to a friend,5,6,7,1,6
32,Control,TikTok,33,Female,3,No,2,4,6,Writing a love letter,5,7,6,1,4
33,AI_Tool_Deception,TikTok,25,Female,6,Yes,4,5,1,Writing wedding vows,5,4,4,3,3
33,AI_Tool_Deception,TikTok,25,Female,6,Yes,4,5,2,Writing a love letter,3,3,4,3,3
33,AI_Tool_Deception,TikTok,25,Female,6,Yes,4,5,3,Generating a shopping list,3,4,4,3,4
33,AI_Tool_Deception,TikTok,25,Female,6,Yes,4,5,4,Planning a city tour for a friend,5,5,4,3,5
33,AI_Tool_Deception,TikTok,25,Female,6,Yes,4,5,5,Writing a short story,2,4,3,2,2
33,AI_Tool_Deception,TikTok,25,Female,6,Yes,4,5,6,Creating a daily schedule,6,4,4,3,4
34,AI_Full_Honest,TikTok,33,Male,6,Yes,3,5,1,Writing a short story,2,4,3,2,2
34,AI_Full_Honest,TikTok,33,Male,6,Yes,3,5,2,Solving a mathematical equation,4,4,5,2,6
34,AI_Full_Honest,TikTok,33,Male,6,Yes,3,5,3,Writing wedding vows,4,4,5,2,6
34,AI_Full_Honest,TikTok,33,Male,6,Yes,3,5,4,Writing an apology letter to a friend,4,4,5,3,6
34,AI_Full_Honest,TikTok,33,Male,6,Yes,3,5,5,Generating a shopping list,4,5,5,3,6
34,AI_Full_Honest,TikTok,33,Male,6,Yes,3,5,6,Planning a city tour for a friend,5,4,5,3,6
35,AI_Full_Deception,TikTok,62,Male,3,Yes,2,5,1,Writing a bereavement card to a family member,2,1,2,7,4
35,AI_Full_Deception,TikTok,62,Male,3,Yes,2,5,2,Writing a short story,2,2,2,7,4
35,AI_Full_Deception,TikTok,62,Male,3,Yes,2,5,3,Planning a surprise birthday party for a friend,3,2,3,6,4
35,AI_Full_Deception,TikTok,62,Male,3,Yes,2,5,4,Writing a love letter,2,1,2,6,4
35,AI_Full_Deception,TikTok,62,Male,3,Yes,2,5,5,Writing a cover letter for a job application,2,1,2,6,4
35,AI_Full_Deception,TikTok,62,Male,3,Yes,2,5,6,Writing a poem,2,1,2,6,5
36,AI_Tool_Deception,TikTok,73,Female,4,Yes,3,5,1,Writing an apology letter to a friend,2,2,2,7,2
36,AI_Tool_Deception,TikTok,73,Female,4,Yes,3,5,2,Planning a surprise birthday party for a friend,4,4,4,3,5
36,AI_Tool_Deception,TikTok,73,Female,4,Yes,3,5,3,Solving a mathematical equation,5,4,4,4,4
36,AI_Tool_Deception,TikTok,73,Female,4,Yes,3,5,4,Generating a shopping list,5,4,5,5,5
36,AI_Tool_Deception,TikTok,73,Female,4,Yes,3,5,5,Writing wedding vows,4,4,3,5,3
36,AI_Tool_Deception,TikTok,73,Female,4,Yes,3,5,6,Writing a short story,4,5,4,5,5
37,AI_Full_Deception,TikTok,27,Female,5,Yes,2,3,1,Planning a surprise birthday party for a friend,5,3,4,3,4
37,AI_Full_Deception,TikTok,27,Female,5,Yes,2,3,2,Generating a shopping list,5,4,4,4,4
37,AI_Full_Deception,TikTok,27,Female,5,Yes,2,3,3,Creating a daily schedule,5,4,4,4,4
37,AI_Full_Deception,TikTok,27,Female,5,Yes,2,3,4,Writing a marriage proposal,4,3,3,3,3
37,AI_Full_Deception,TikTok,27,Female,5,Yes,2,3,5,Writing computer code,4,4,4,4,4
37,AI_Full_Deception,TikTok,27,Female,5,Yes,2,3,6,Writing wedding vows,4,3,3,3,3
38,Control,TikTok,31,Male,4,Yes,2,5,1,Planning a surprise birthday party for a friend,4,6,5,2,6
38,Control,TikTok,31,Male,4,Yes,2,5,2,Writing wedding vows,4,7,7,1,6
38,Control,TikTok,31,Male,4,Yes,2,5,3,Writing a poem,4,7,4,1,4
38,Control,TikTok,31,Male,4,Yes,2,5,4,Writing a bereavement card to a family member,4,7,5,4,6
38,Control,TikTok,31,Male,4,Yes,2,5,5,Solving a mathematical equation,6,2,2,1,4
38,Control,TikTok,31,Male,4,Yes,2,5,6,Writing a dinner recipe,4,6,5,2,6
39,Control,TikTok,53,Female,6,Yes,2,1,1,Writing wedding vows,5,6,6,1,5
39,Control,TikTok,53,Female,6,Yes,2,1,2,Writing a dinner recipe,6,4,4,1,4
39,Control,TikTok,53,Female,6,Yes,2,1,3,Writing a short story,6,5,5,2,4
39,Control,TikTok,53,Female,6,Yes,2,1,4,Writing a love letter,5,7,5,2,4
39,Control,TikTok,53,Female,6,Yes,2,1,5,Generating a shopping list,1,3,1,7,1
39,Control,TikTok,53,Female,6,Yes,2,1,6,Writing a marriage proposal,4,5,3,5,4
40,AI_Tool_Honest,TikTok,62,Male,4,Yes,3,3,1,Writing a bereavement card to a family member,6,4,4,3,5
40,AI_Tool_Honest,TikTok,62,Male,4,Yes,3,3,2,Solving a mathematical equation,6,4,4,4,4
40,AI_Tool_Honest,TikTok,62,Male,4,Yes,3,3,3,Writing a short story,4,3,3,5,4
40,AI_Tool_Honest,TikTok,62,Male,4,Yes,3,3,4,Planning a city tour for a friend,6,4,4,4,4
40,AI_Tool_Honest,TikTok,62,Male,4,Yes,3,3,5,Planning a surprise birthday party for a friend,6,5,5,4,4
40,AI_Tool_Honest,TikTok,62,Male,4,Yes,3,3,6,Writing a cover letter for a job application,5,4,3,5,4
41,AI_Tool_Honest,TikTok,36,Male,3,No,1,1,1,Planning a syllabus,1,4,2,6,3
41,AI_Tool_Honest,TikTok,36,Male,3,No,1,1,2,Writing a cover letter for a job application,1,4,2,6,3
41,AI_Tool_Honest,TikTok,36,Male,3,No,1,1,3,Writing wedding vows,1,2,2,6,2
41,AI_Tool_Honest,TikTok,36,Male,3,No,1,1,4,Solving a mathematical equation,1,4,2,6,2
41,AI_Tool_Honest,TikTok,36,Male,3,No,1,1,5,Writing a bereavement card to a family member,1,1,1,7,1
41,AI_Tool_Honest,TikTok,36,Male,3,No,1,1,6,Planning a surprise birthday party for a friend,1,4,2,6,3
42,AI_Full_Deception,TikTok,38,Female,3,Yes,2,3,1,Writing a dinner recipe,3,3,2,5,2
42,AI_Full_Deception,TikTok,38,Female,3,Yes,2,3,2,Creating a daily schedule,2,2,2,6,2
42,AI_Full_Deception,TikTok,38,Female,3,Yes,2,3,3,Writing an apology letter to a friend,2,2,2,6,2
42,AI_Full_Deception,TikTok,38,Female,3,Yes,2,3,4,Writing wedding vows,2,1,1,7,1
42,AI_Full_Deception,TikTok,38,Female,3,Yes,2,3,5,Writing a bereavement card to a family member,2,1,1,7,1
42,AI_Full_Deception,TikTok,38,Female,3,Yes,2,3,6,Writing a short story,2,2,2,6,2
43,AI_Full_Honest,TikTok,29,Female,4,No,1,2,1,Creating a daily schedule,1,4,3,7,4
43,AI_Full_Honest,TikTok,29,Female,4,No,1,2,2,Writing a marriage proposal,1,4,3,7,4
43,AI_Full_Honest,TikTok,29,Female,4,No,1,2,3,Planning a surprise birthday party for a friend,1,4,3,7,4
43,AI_Full_Honest,TikTok,29,Female,4,No,1,2,4,Generating a shopping list,2,4,4,7,4
43,AI_Full_Honest,TikTok,29,Female,4,No,1,2,5,Planning a city tour for a friend,2,4,3,6,4
43,AI_Full_Honest,TikTok,29,Female,4,No,1,2,6,Planning a syllabus,1,4,3,7,4
